voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
y4h696hkya,"2020-07-17 13:37:14",swzw2ts6,1,3,0,2,5,4
e6y67fkdcw,"2020-07-17 13:41:38",swzw2ts6,0,0,0,0,0,0
p3px59drrw,"2020-07-17 13:42:33",swzw2ts6,5,0,0,0,0,0
hc392fzwm5,"2020-07-17 13:51:20",swzw2ts6,5,0,0,0,0,0
4faadks529,"2020-07-17 13:52:37",swzw2ts6,0,0,0,5,0,0
dx513y37a7,"2020-07-17 14:01:41",swzw2ts6,5,0,0,3,0,0
mww12ha5hr,"2020-07-17 14:01:59",swzw2ts6,4,0,4,5,0,0
x42eykrdrd,"2020-07-17 14:02:48",swzw2ts6,5,0,0,0,0,0
t4aan5w9x6,"2020-07-17 14:07:57",swzw2ts6,5,0,0,0,0,0
1p6ma1c9k5,"2020-07-17 14:09:06",swzw2ts6,5,0,0,0,0,0
d9wtsfwdey,"2020-07-17 14:10:10",swzw2ts6,5,0,0,0,0,0
pww417z166,"2020-07-17 14:13:22",swzw2ts6,5,0,0,0,0,0
cwd6rkd9sw,"2020-07-17 14:13:27",swzw2ts6,5,1,1,1,1,1
hf31edttff,"2020-07-17 14:14:29",swzw2ts6,5,0,0,0,0,0
rxhxsyydwy,"2020-07-17 14:15:54",swzw2ts6,5,0,0,0,0,0
d6zm69pek7,"2020-07-17 14:16:05",swzw2ts6,5,0,0,0,0,0
4xxmnr6t32,"2020-07-17 14:22:51",swzw2ts6,0,0,0,5,0,0
4x7p56955s,"2020-07-17 14:27:59",swzw2ts6,5,3,3,1,0,0
4hz324cy4z,"2020-07-17 14:28:31",swzw2ts6,5,2,2,2,1,2
afske4k9rn,"2020-07-17 14:28:35",swzw2ts6,5,0,0,0,0,0
wnhf3yrnr2,"2020-07-17 14:33:45",swzw2ts6,5,1,1,1,0,1
mkps2ws65w,"2020-07-17 14:34:35",swzw2ts6,5,3,0,4,0,0
krn3dnsayw,"2020-07-17 14:36:12",swzw2ts6,5,0,0,0,0,0
